ID,Category,DataType,Source,Provider,Cost,Access,URL,Coverage,Terms,RecordRelease,TrustTier,Priority,Status,Connector,Notes
A01,Tree Format,Lineage-linked tree (GEDCOM 5.5.1),GEDCOM 5.5.1 spec,FamilySearch (legacy),Free,Spec/file parse,https://gedcom.io/specifications/ged551.pdf,Universal,Open spec,,n/a,P0,verified,,Our seed file is 5.5.1 from Ancestry 2025.08 export w/ _APID/_OID/_ENCR custom tags. Must parse first.
A02,Tree Format,Lineage-linked tree (GEDCOM 7),FamilySearch GEDCOM 7.0.18,FamilySearch,Free,Spec/file parse,https://gedcom.io/specifications/FamilySearchGEDCOMv7.html,Universal,Open spec (CC),,n/a,P0,verified,,Current 7.0.18 (Feb 2026). GEDZIP bundles media. Target this as canonical internal export.
A03,Tree Format,JSON/XML tree + evidence model,GEDCOM X,FamilySearch,Free,Spec/lib,https://github.com/FamilySearch/gedcomx,Universal,Apache-2.0,,n/a,P1,todo,,Same model FamilySearch API returns. Good fit for an AI evidence graph (persona/evidence vs conclusion).
A04,Tree Format,Open-source tree DB + REST API,Gramps Web API,Gramps Project,Free,REST/self-host,https://github.com/gramps-project/gramps-web-api,Universal,AGPL-3.0,,n/a,P1,n/a,,"Not the backend: borrow its taxonomy, ship a Gramps XML exporter; no AGPL linkage. See docs/DATA-ARCHITECTURE.md s.7."
B01,Hosted Tree,Collaborative world tree + record hints,FamilySearch API,"FamilySearch (LDS, nonprofit)",Free,REST (OAuth2) - approval required,https://developers.familysearch.org/,Global,Closed to public; Innovator Program application,,T4 (tree) / T2 (indexes),P0,blocked-apply,,API closed to general public; apply via Third-Party Service Provider form. Sandbox on approval. Largest free record index set.
B02,Hosted Tree,Member trees + record collections,Ancestry.com,Ancestry (Blackstone),Paid,NONE - GEDCOM export only,https://www.ancestry.com/,"Global, strongest US",No public API; ToS bans scraping,,T4,P0,blocked,,"Our seed tree lives here. Record pages and images need a membership this account lacks, so Ancestry is a citation source, not a fetch source: a cited record is fetched from a free holder of the same collection (data/holders.csv). Only path in: user-exported GEDCOM + APID citation mapping."
B03,Hosted Tree,"Family Graph API (trees, photos, sources)",MyHeritage Family Graph,MyHeritage,Free API / Paid data,REST JSON (OAuth) - app key approval,https://www.familygraph.com/getAccess,"Global, strong Europe",Family Graph ToS,,T4,P2,todo,,Read-only. Docs date to 2011; confirm still issuing keys.
B04,Hosted Tree,"Single shared tree, sourced profiles",WikiTree API,WikiTree,Free,"REST JSON, no auth for public profiles",https://api.wikitree.com/api.php,Global,CC BY-SA style; appId param encouraged,,T4,P1,verified,wikitree,"searchPerson by name with a birth or death year and a two-year spread; getProfile with parents, spouses, children, siblings and the biography. Anyone can edit a profile: a card, never a ground for the rule."
B05,Hosted Tree,World Family Tree,Geni API,Geni (MyHeritage),Free API,REST JSON (OAuth) + sandbox,https://www.geni.com/platform/developer/help,Global,Geni API ToS,,T4,P2,todo,,Sandbox at sandbox.geni.com. Repo activity Aug 2026.
B06,Hosted Tree,Trees + European records,Geneanet,Geneanet (Ancestry),Freemium,Web; limited API,https://www.geneanet.org/,Europe (FR/DE/NL strong),ToS,,T4,P3,todo,,Relevant for Sachsen / Gelderland / Friesland branches.
C01,Vital,Death index (US federal),Social Security Death Index (SSDI),SSA via FamilySearch/Ancestry,Free (FS),Search UI; FS API if approved,https://www.familysearch.org/search/collection/1202535,US 1935-2014,Public record,SSA DMF: public 3y after death (BBA 2013 s.203),T2,P0,todo,,Cited in seed tree. FamilySearch copy is free.
C02,Vital,SS applications & claims index (parents' names),SS Applications and Claims Index,Ancestry,Paid,Web,https://www.ancestry.com/search/collections/60901/,US 1936-2007,Ancestry ToS,,T2,P1,todo,,Gives parents' names; no free equivalent. Cited in seed tree.
C03,Vital,PA birth/death certificates + indexes,PA State Archives vital records,PHMC / PA State Archives,Free (index+PA residents) / Paid,Web; Ancestry PA free w/ PA zip,https://www.pa.gov/agencies/phmc/pa-state-archives/research-online/vital-records,"PA births 1906-1917, deaths 1906-1973",Public record,"PA Act 110/2011: death 50y, birth 105y",T1/T2,P0,verified,,"Seed tree heavily PA (Montgomery, Chester, Philadelphia, Lancaster). Certificates cited. Images online only through Ancestry, free with a Pennsylvania address via the Ancestry Pennsylvania portal; no free holder, so their fetch steps are blocked (data/holders.csv). No free holder of the state death certificates 1906-1973 (dbid 5164) or birth certificates 1906-1917 (dbid 60484): the archives' index pages left the site; those steps stay blocked. The veterans' burial cards, 1777-2012 (dbid 1967), likewise: the state archives' military records are on Ancestry Pennsylvania alone (free with a Pennsylvania address), and the FamilySearch catalog holds no film of them; those steps stay blocked."
C04,Vital,PA Photos & Documents (local libraries' digitized collections),Power Library - PA State Archives Collections,PA Dept of Education,Free,Web browse (not full-text searchable),https://powerlibrary.org/,PA,Public,,T1,P1,verified,,PA State Archives collections are no longer hosted here (collections notice on the site): the death and birth certificates are not a Power Library holding. Local-library collections remain browsable.
C05,Vital,MA town & vital records 1620-1988,Massachusetts vital records,MA Archives / FamilySearch / Ancestry,Free (FS) / Paid,Web,https://www.familysearch.org/search/collection/2061550,MA 1620-1915+,Public record,"MA: birth/marriage 90y, death 50y (index)",T1/T2,P1,todo,,"Seed tree: 39 MA places. AmericanAncestors.org (NEHGS, paid) is best MA source."
C06,Vital,KY birth/death indexes & certificates,Kentucky vital records,KDLA / FamilySearch / Ancestry,Free (FS index) / Paid,Web,https://www.familysearch.org/search/collection/1307843,KY 1852-2000,Public record,KY: state index public,T2,P1,todo,,Seed tree: 35 KY places (Simpson Co.).
C07,Vital,TN death/marriage/tax records,Tennessee vital records,TSLA / FamilySearch / Ancestry,Free (FS) / Paid,Web,https://sos.tn.gov/tsla,TN 1780-2002,Public record,TN: death 50y,T1/T2,P1,todo,,Seed tree: Sevier surname / TN early tax lists cited.
C08,Vital,NY state census + marriage index,New York vital records,NYS Archives / Reclaim the Records / FamilySearch,Free,Web; Reclaim the Records bulk data on Internet Archive,https://www.reclaimtherecords.org/,NY 1881-1967,Public record (FOIL-released),"NY: birth 75y, death 50y, marriage 50y",T2,P1,todo,,Nassau Co. / Hempstead cluster. Reclaim the Records publishes raw index files = bulk-loadable.
C09,Vital,NJ birth/marriage/death indexes,New Jersey vital records,NJ State Archives / Reclaim the Records,Free,Web + bulk files,https://www.nj.gov/state/archives/,NJ 1848-2017,Public record,"NJ: birth 80y+, marriage/death 40y+",T2,P2,todo,,
C10,Vital,OH death records,Ohio Death Records,Ohio History Connection / FamilySearch,Free,Web,https://www.familysearch.org/search/collection/1307272,OH 1908-2022,Public record,OH: public,T2,P2,todo,,
